ALFRED Model,Grounding,Detection,Main,Sub,Prediction,Action Grounding,Planning,Step-by-step
GPT-5,51.45,24.34,92.20,73.80,81.48,28.86,0.801,71.52
GPT-o3,57.28,29.55,94.80,80.60,86.75,31.76,0.796,77.41
Claude-4.5-Sonnet,38.05,1.54,90.80,65.80,51.60,62.55,0.812,46.15
Gemini-2.5-Flash,45.00,43.15,88.60,66.80,69.45,32.53,0.799,74.80
Gemini-2.5-Pro,63.53,60.75,86.20,80.20,85.43,31.08,0.819,85.76
LLaVA-OneVision-7B,22.19,18.19,69.60,68.00,71.05,44.88,0.695,6.87
InternVL2.5-8B,30.90,8.79,67.00,76.20,68.70,47.39,0.608,0.82
InternVL3-8B,33.70,26.68,71.80,77.40,68.80,48.26,0.742,4.42
Qwen2.5-VL-7B,28.15,1.82,84.00,73.00,48.78,49.61,0.764,39.44
Qwen3-VL-8B,48.99,51.79,89.40,80.20,76.50,67.18,0.815,45.34
BC (InternVL3-8B),78.01,73.94,71.80,83.00,63.25,9.27,0.630,98.53
Ours (InternVL3-8B),75.84,81.73,99.40,98.60,96.80,89.09,0.894,98.20
