,No Reduction,PCA_k-1,PCA_25%,PCA_50%,Kernel PCA_k-1,Kernel PCA_25%,Kernel PCA_50%,VAE_k-1,VAE_25%,VAE_50%,Isomap_k-1,Isomap_25%,Isomap_50%,MDS_k-1,MDS_25%,MDS_50%
Moons_2c_10d_0,0.45,0.49,0.49,0.33,0.47,0.47,0.35,-0.0,-0.0,0.0,0.44,0.44,0.41,0.46,0.46,0.39
Moons_2c_10d_1,0.36,0.25,0.25,0.48,0.44,0.44,0.34,0.0,0.0,0.0,0.48,0.48,0.48,0.36,0.36,0.45
Moons_2c_10d_2,0.39,0.45,0.45,0.45,0.49,0.49,0.41,0.0,0.0,-0.0,0.47,0.47,0.4,0.04,0.04,0.36
Moons_2c_10d_3,0.39,0.4,0.4,0.45,0.43,0.43,0.34,-0.0,-0.0,-0.0,0.44,0.44,0.42,-0.0,-0.0,0.36
Moons_2c_10d_4,0.39,0.28,0.28,0.38,0.45,0.45,0.4,0.0,0.0,0.02,0.42,0.42,0.4,0.41,0.41,0.34
Moons_2c_50d_0,0.08,0.16,0.16,0.0,0.23,0.17,0.1,0.0,0.0,0.0,0.04,0.03,0.0,-0.0,0.01,0.05
Moons_2c_50d_1,0.05,0.23,0.05,0.12,0.14,0.03,0.03,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.03,0.07,0.07
Moons_2c_50d_2,0.11,0.09,0.11,0.12,0.37,0.05,0.07,0.0,0.0,0.01,0.01,-0.0,0.0,-0.0,-0.0,0.04
Moons_2c_50d_3,0.07,0.19,0.0,0.06,0.24,0.05,0.0,0.0,0.0,-0.0,0.01,0.02,-0.0,0.04,0.01,0.06
Moons_2c_50d_4,0.01,0.03,0.01,0.07,0.15,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.01,-0.0,0.0,0.02
