,No Reduction,PCA_k-1,PCA_25%,PCA_50%,Kernel PCA_k-1,Kernel PCA_25%,Kernel PCA_50%,VAE_k-1,VAE_25%,VAE_50%,Isomap_k-1,Isomap_25%,Isomap_50%,MDS_k-1,MDS_25%,MDS_50%
RSG_3c_10d_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.2,0.65,1.0,1.0,1.0,1.0,1.0,1.0
RSG_3c_10d_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.66,0.66,0.9,1.0,1.0,1.0,1.0,1.0,1.0
RSG_3c_10d_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.05,0.05,0.41,1.0,1.0,1.0,1.0,1.0,1.0
RSG_3c_10d_3,1.0,0.99,0.99,1.0,1.0,1.0,1.0,0.31,0.31,0.65,1.0,1.0,1.0,1.0,1.0,1.0
RSG_3c_10d_4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.28,0.28,0.86,1.0,1.0,1.0,1.0,1.0,1.0
RSG_3c_50d_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RSG_3c_50d_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RSG_3c_50d_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RSG_3c_50d_3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RSG_3c_50d_4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RSG_5c_10d_0,1.0,1.0,0.84,1.0,1.0,0.9,1.0,0.46,0.28,0.44,1.0,0.99,1.0,1.0,0.99,1.0
RSG_5c_10d_1,1.0,1.0,0.84,1.0,1.0,0.94,1.0,0.61,0.27,0.38,1.0,0.85,1.0,1.0,0.99,1.0
RSG_5c_10d_2,1.0,1.0,0.69,1.0,1.0,0.98,1.0,0.21,0.14,0.44,1.0,0.66,1.0,1.0,0.99,1.0
RSG_5c_10d_3,1.0,1.0,0.85,1.0,1.0,0.92,1.0,0.72,0.51,0.68,1.0,0.84,1.0,1.0,0.99,1.0
RSG_5c_10d_4,1.0,1.0,0.99,1.0,1.0,1.0,1.0,0.88,0.18,0.53,1.0,0.86,1.0,1.0,0.99,1.0
RSG_5c_50d_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,0.77,1.0,1.0,1.0,1.0,1.0,1.0
RSG_5c_50d_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.77,1.0,1.0,1.0,1.0,1.0,1.0
RSG_5c_50d_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0
RSG_5c_50d_3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.94,0.76,0.75,1.0,1.0,1.0,1.0,1.0,1.0
RSG_5c_50d_4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,0.97,0.82,1.0,1.0,1.0,1.0,1.0,1.0
