,No Reduction,PCA_k-1,PCA_25%,PCA_50%,Kernel PCA_k-1,Kernel PCA_25%,Kernel PCA_50%,VAE_k-1,VAE_25%,VAE_50%,Isomap_k-1,Isomap_25%,Isomap_50%,MDS_k-1,MDS_25%,MDS_50%
Breast Wisconsin,0.78,0.56,0.77,0.78,0.62,0.67,0.66,-0.02,0.67,0.39,0.53,0.82,0.82,0.74,0.73,0.82
Breast tissue,0.39,0.31,0.32,0.26,0.31,0.47,0.44,0.07,0.04,-0.0,0.39,0.4,0.42,0.37,0.36,0.31
Ecoli,0.72,0.72,0.55,0.68,0.72,0.49,0.62,0.72,0.12,0.09,0.72,0.53,0.43,0.72,0.5,0.59
Glass,0.2,0.19,0.22,0.25,0.19,0.16,0.19,-0.0,0.03,0.02,0.13,0.06,0.15,0.18,0.21,0.18
Haberman,-0.01,0.02,-0.0,0.02,-0.01,0.0,-0.01,-0.01,0.04,-0.01,0.06,-0.0,0.06,-0.0,-0.0,-0.0
Ionosphere,0.14,0.18,0.16,0.17,0.21,0.19,0.26,0.2,0.21,0.12,0.21,0.14,0.15,0.08,0.06,0.12
Iris,0.61,0.61,0.51,0.61,0.66,0.53,0.66,0.08,0.0,0.08,0.54,0.53,0.54,0.61,0.37,0.61
Movement libras,0.33,0.33,0.33,0.33,0.35,0.34,0.32,0.17,0.08,0.1,0.34,0.35,0.36,0.32,0.32,0.33
Musk,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.0,-0.0,-0.0,-0.0,0.0,0.0,-0.0,0.0,0.01
Parkinsons,0.16,0.02,0.15,0.14,0.16,0.14,0.17,0.09,0.01,0.14,0.15,0.13,0.1,0.07,0.14,0.13
Segmentation,0.35,0.36,0.36,0.35,0.45,0.45,0.46,0.21,0.22,0.17,0.23,0.23,0.23,0.37,0.37,0.23
Sonar all,0.05,-0.0,-0.0,-0.0,0.01,0.02,0.02,-0.0,0.01,0.01,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
Spectf,0.0,0.02,-0.08,-0.01,-0.03,-0.09,-0.09,0.07,0.11,0.09,-0.01,-0.07,-0.02,-0.05,-0.05,-0.04
Transfusion,0.03,0.02,0.03,0.02,0.05,-0.0,0.05,-0.01,0.0,-0.01,0.07,0.04,0.07,0.03,0.01,0.03
Vehicle,0.09,0.1,0.08,0.09,0.08,0.08,0.08,0.07,0.04,0.08,0.13,0.12,0.11,0.09,0.08,0.08
Vertebral column,0.35,0.37,0.37,0.39,0.23,0.23,0.25,-0.03,-0.03,0.05,0.35,0.35,0.36,0.16,0.16,0.35
Vowel context,0.13,0.13,0.09,0.16,0.13,0.1,0.17,0.13,0.02,0.01,0.13,0.14,0.16,0.13,0.08,0.15
Wine,0.78,0.66,0.64,0.91,0.93,0.77,0.9,-0.0,0.04,-0.01,0.47,0.46,0.36,0.83,0.81,0.88
Wine quality red,0.04,0.07,0.06,0.04,0.06,0.05,0.06,-0.0,0.04,0.08,0.08,0.06,0.04,0.05,0.05,0.04
Yeast,0.14,0.14,0.07,0.09,0.14,0.07,0.12,0.14,0.06,0.04,0.14,0.07,0.08,0.14,0.07,0.1
