,No Reduction,PCA_k-1,PCA_25%,PCA_50%,Kernel PCA_k-1,Kernel PCA_25%,Kernel PCA_50%,VAE_k-1,VAE_25%,VAE_50%,Isomap_k-1,Isomap_25%,Isomap_50%,MDS_k-1,MDS_25%,MDS_50%
Repliclust_3c_10d_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.59,0.59,0.71,1.0,1.0,1.0,1.0,1.0,1.0
Repliclust_3c_10d_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.32,0.32,0.25,1.0,1.0,1.0,1.0,1.0,1.0
Repliclust_3c_10d_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.63,0.63,0.43,1.0,1.0,1.0,1.0,1.0,1.0
Repliclust_3c_10d_3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.52,0.52,0.87,1.0,1.0,1.0,1.0,1.0,1.0
Repliclust_3c_10d_4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.93,1.0,1.0,1.0,1.0,1.0,1.0
Repliclust_3c_50d_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Repliclust_3c_50d_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Repliclust_3c_50d_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Repliclust_3c_50d_3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Repliclust_3c_50d_4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Repliclust_5c_10d_0,1.0,1.0,0.98,1.0,1.0,1.0,1.0,0.57,0.56,0.5,1.0,0.89,1.0,1.0,1.0,1.0
Repliclust_5c_10d_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.49,0.46,0.74,1.0,0.85,1.0,1.0,1.0,1.0
Repliclust_5c_10d_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.64,0.18,0.53,1.0,0.99,1.0,1.0,1.0,1.0
Repliclust_5c_10d_3,1.0,1.0,0.99,1.0,1.0,1.0,1.0,0.4,0.39,0.55,1.0,0.79,1.0,1.0,1.0,1.0
Repliclust_5c_10d_4,1.0,1.0,0.84,1.0,1.0,0.99,1.0,0.81,0.49,0.74,1.0,0.79,1.0,1.0,1.0,1.0
Repliclust_5c_50d_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0
Repliclust_5c_50d_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0
Repliclust_5c_50d_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Repliclust_5c_50d_3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.97,0.99,1.0,1.0,1.0,1.0,1.0,1.0
Repliclust_5c_50d_4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96,1.0,0.93,1.0,1.0,1.0,1.0,1.0,1.0
