,No Reduction,PCA_k-1,PCA_25%,PCA_50%,Kernel PCA_k-1,Kernel PCA_25%,Kernel PCA_50%,VAE_k-1,VAE_25%,VAE_50%,Isomap_k-1,Isomap_25%,Isomap_50%,MDS_k-1,MDS_25%,MDS_50%
Moons_2c_10d_0,0.46,0.46,0.46,0.49,0.48,0.48,0.46,-0.0,-0.0,0.0,0.43,0.43,0.43,0.5,0.5,0.48
Moons_2c_10d_1,0.5,0.47,0.47,0.5,0.47,0.47,0.49,0.06,0.06,0.08,0.48,0.48,0.52,0.46,0.46,0.49
Moons_2c_10d_2,0.49,0.47,0.47,0.47,0.49,0.49,0.48,-0.0,-0.0,0.01,0.53,0.53,0.54,0.47,0.47,0.47
Moons_2c_10d_3,0.48,0.46,0.46,0.49,0.45,0.45,0.46,-0.0,-0.0,0.02,0.46,0.46,0.46,0.48,0.48,0.48
Moons_2c_10d_4,0.51,0.46,0.46,0.47,0.48,0.48,0.47,0.01,0.01,0.07,0.45,0.45,0.46,0.45,0.45,0.45
Moons_2c_50d_0,0.49,0.28,0.39,0.41,0.39,0.4,0.4,0.01,0.01,0.01,-0.0,0.02,0.03,0.02,0.02,0.23
Moons_2c_50d_1,0.17,0.24,0.03,0.42,0.27,0.36,-0.0,-0.0,0.01,0.03,-0.0,-0.0,0.0,0.11,0.24,0.23
Moons_2c_50d_2,-0.0,0.33,0.05,0.01,0.28,0.47,0.51,0.04,0.01,0.12,0.01,0.02,0.02,0.01,0.0,0.05
Moons_2c_50d_3,0.02,0.33,-0.0,0.12,0.39,0.4,0.15,0.01,0.0,0.01,0.01,0.01,0.02,0.01,0.02,0.19
Moons_2c_50d_4,0.0,0.13,0.05,0.51,0.31,-0.0,-0.0,-0.0,-0.0,0.01,0.03,0.01,0.01,-0.0,-0.0,-0.0
