,No Reduction,PCA_k-1,PCA_25%,PCA_50%,Kernel PCA_k-1,Kernel PCA_25%,Kernel PCA_50%,VAE_k-1,VAE_25%,VAE_50%,Isomap_k-1,Isomap_25%,Isomap_50%,MDS_k-1,MDS_25%,MDS_50%
RSG_3c_10d_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.21,0.21,0.86,1.0,1.0,1.0,1.0,1.0,1.0
RSG_3c_10d_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.66,0.66,0.95,1.0,1.0,1.0,1.0,1.0,1.0
RSG_3c_10d_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06,0.06,0.58,1.0,1.0,1.0,1.0,1.0,1.0
RSG_3c_10d_3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.38,0.38,0.9,1.0,1.0,1.0,1.0,1.0,1.0
RSG_3c_10d_4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.22,0.22,0.9,1.0,1.0,1.0,1.0,1.0,1.0
RSG_3c_50d_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RSG_3c_50d_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RSG_3c_50d_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RSG_3c_50d_3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RSG_3c_50d_4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RSG_5c_10d_0,1.0,1.0,0.85,1.0,1.0,0.92,1.0,0.47,0.33,0.53,0.99,0.72,1.0,1.0,0.99,1.0
RSG_5c_10d_1,1.0,1.0,0.84,1.0,1.0,0.93,1.0,0.55,0.28,0.54,1.0,0.96,1.0,1.0,0.99,1.0
RSG_5c_10d_2,0.72,1.0,0.7,0.73,1.0,0.99,1.0,0.23,0.12,0.51,1.0,0.71,1.0,1.0,0.99,1.0
RSG_5c_10d_3,1.0,1.0,0.71,1.0,1.0,0.94,1.0,0.75,0.47,0.67,0.74,0.93,0.99,1.0,0.99,1.0
RSG_5c_10d_4,1.0,1.0,0.99,1.0,1.0,1.0,1.0,0.91,0.21,0.52,1.0,0.92,1.0,1.0,0.99,1.0
RSG_5c_50d_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0
RSG_5c_50d_1,1.0,1.0,1.0,0.72,1.0,1.0,1.0,1.0,1.0,0.76,1.0,0.72,0.72,1.0,1.0,1.0
RSG_5c_50d_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.72,0.99,1.0,1.0,1.0,1.0,1.0,1.0
RSG_5c_50d_3,0.72,1.0,1.0,0.72,1.0,1.0,1.0,0.95,0.81,0.73,0.73,1.0,0.73,1.0,0.72,0.72
RSG_5c_50d_4,1.0,1.0,1.0,1.0,1.0,1.0,0.72,0.72,0.99,0.98,1.0,1.0,0.72,1.0,1.0,1.0
