,No Reduction,PCA_k-1,PCA_25%,PCA_50%,Kernel PCA_k-1,Kernel PCA_25%,Kernel PCA_50%,VAE_k-1,VAE_25%,VAE_50%,Isomap_k-1,Isomap_25%,Isomap_50%,MDS_k-1,MDS_25%,MDS_50%
Repliclust_3c_10d_0,0.46,1.0,1.0,0.45,1.0,1.0,1.0,0.68,0.68,0.82,1.0,1.0,1.0,1.0,1.0,1.0
Repliclust_3c_10d_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.82,1.0,1.0,1.0,1.0,1.0,1.0
Repliclust_3c_10d_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.62,0.62,0.7,1.0,1.0,1.0,1.0,1.0,1.0
Repliclust_3c_10d_3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.52,0.52,0.82,1.0,1.0,1.0,1.0,1.0,1.0
Repliclust_3c_10d_4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.73,0.73,0.95,1.0,1.0,1.0,1.0,1.0,1.0
Repliclust_3c_50d_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Repliclust_3c_50d_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Repliclust_3c_50d_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Repliclust_3c_50d_3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Repliclust_3c_50d_4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Repliclust_5c_10d_0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,0.59,0.53,0.59,1.0,0.92,1.0,1.0,1.0,1.0
Repliclust_5c_10d_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.49,0.47,0.85,1.0,0.91,1.0,1.0,1.0,1.0
Repliclust_5c_10d_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.63,0.22,0.62,1.0,0.99,1.0,1.0,1.0,1.0
Repliclust_5c_10d_3,1.0,1.0,0.99,1.0,1.0,1.0,1.0,0.51,0.39,0.77,1.0,0.82,1.0,1.0,1.0,1.0
Repliclust_5c_10d_4,1.0,1.0,0.87,1.0,1.0,0.99,1.0,0.95,0.47,0.67,1.0,0.72,1.0,1.0,1.0,1.0
Repliclust_5c_50d_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Repliclust_5c_50d_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Repliclust_5c_50d_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Repliclust_5c_50d_3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Repliclust_5c_50d_4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.72,1.0,1.0,1.0,1.0,1.0,1.0
