,No Reduction,PCA_k-1,PCA_25%,PCA_50%,Kernel PCA_k-1,Kernel PCA_25%,Kernel PCA_50%,VAE_k-1,VAE_25%,VAE_50%,Isomap_k-1,Isomap_25%,Isomap_50%,MDS_k-1,MDS_25%,MDS_50%
Breast Wisconsin,0.71,0.53,0.66,0.72,0.65,0.62,0.64,0.55,0.64,0.09,0.71,0.79,0.71,0.54,0.63,0.44
Breast tissue,0.3,0.29,0.28,0.28,0.34,0.43,0.32,0.1,0.0,0.19,0.26,0.23,0.28,0.3,0.25,0.26
Ecoli,0.54,0.54,0.48,0.72,0.54,0.49,0.52,0.54,0.13,0.04,0.54,0.54,0.72,0.54,0.69,0.56
Glass,0.26,0.17,0.26,0.27,0.19,0.19,0.17,0.12,0.17,0.14,0.13,0.18,0.15,0.18,0.17,0.27
Haberman,0.1,0.07,0.07,0.07,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0.01,0.01,0.01,-0.0,-0.0,-0.0
Ionosphere,0.18,0.14,0.18,0.17,0.21,0.25,0.25,0.16,0.17,0.16,0.14,0.13,0.12,0.12,0.16,0.16
Iris,0.9,0.74,0.74,0.74,0.6,0.6,0.6,0.21,0.21,0.21,0.59,0.59,0.59,0.76,0.76,0.76
Movement libras,0.36,0.41,0.41,0.38,0.36,0.35,0.26,0.16,0.14,0.17,0.36,0.34,0.33,0.39,0.39,0.38
Musk,0.01,-0.0,0.01,0.01,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.01,0.01
Parkinsons,-0.06,-0.06,-0.06,-0.06,0.16,0.13,0.19,-0.0,-0.07,-0.03,-0.08,0.14,0.08,-0.05,-0.06,-0.06
Segmentation,0.5,0.46,0.43,0.56,0.49,0.52,0.47,0.45,0.44,0.44,0.23,0.4,0.4,0.47,0.46,0.48
Sonar all,-0.0,0.0,-0.0,0.0,0.01,0.01,0.01,0.0,-0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,-0.0
Spectf,-0.1,-0.08,-0.09,-0.09,-0.08,-0.1,-0.1,-0.06,-0.08,-0.07,-0.09,-0.09,-0.09,-0.1,-0.1,-0.09
Transfusion,0.05,0.03,0.03,0.03,-0.03,-0.03,-0.03,-0.0,-0.0,-0.0,0.03,0.03,0.03,0.04,0.04,0.04
Vehicle,0.07,0.08,0.08,0.12,0.08,0.1,0.06,0.09,0.05,0.1,0.11,0.13,0.09,0.07,0.08,0.14
Vertebral column,0.44,0.18,0.18,0.16,0.24,0.24,0.24,0.02,0.02,0.02,0.23,0.23,0.23,0.08,0.08,0.04
Vowel context,0.15,0.15,0.15,0.18,0.15,0.11,0.16,0.15,0.04,0.03,0.15,0.12,0.15,0.15,0.14,0.18
Wine,0.95,0.91,0.9,0.91,0.92,0.9,0.93,0.08,0.04,0.01,0.82,0.83,0.82,0.59,0.87,0.85
Wine quality red,0.08,0.06,0.07,0.06,0.05,0.07,0.04,0.01,0.01,0.01,0.05,0.08,0.06,0.06,0.06,0.07
Yeast,0.16,0.16,0.15,0.22,0.16,0.06,0.12,0.16,0.05,0.07,0.16,0.13,0.14,0.16,0.09,0.17
