,No Reduction,PCA_k-1,PCA_25%,PCA_50%,Kernel PCA_k-1,Kernel PCA_25%,Kernel PCA_50%,VAE_k-1,VAE_25%,VAE_50%,Isomap_k-1,Isomap_25%,Isomap_50%,MDS_k-1,MDS_25%,MDS_50%
RSG_3c_10d_0,1.0,1.0,1.0,1.0,0.95,0.95,0.92,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
RSG_3c_10d_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
RSG_3c_10d_2,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.01,0.01,0.0,0.79,0.79,0.91,1.0,1.0,1.0
RSG_3c_10d_3,1.0,1.0,1.0,0.57,1.0,1.0,1.0,-0.0,-0.0,0.55,0.81,0.81,1.0,1.0,1.0,1.0
RSG_3c_10d_4,1.0,1.0,1.0,1.0,0.91,0.91,0.91,0.12,0.12,0.56,0.91,0.91,1.0,0.93,0.93,1.0
RSG_3c_50d_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RSG_3c_50d_1,1.0,0.92,1.0,1.0,1.0,1.0,1.0,0.91,0.98,1.0,0.83,1.0,1.0,1.0,1.0,1.0
RSG_3c_50d_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.82,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RSG_3c_50d_3,1.0,0.79,1.0,1.0,1.0,1.0,1.0,1.0,0.92,1.0,0.92,1.0,1.0,1.0,1.0,1.0
RSG_3c_50d_4,1.0,1.0,1.0,1.0,0.91,1.0,1.0,1.0,1.0,1.0,0.85,1.0,1.0,1.0,1.0,1.0
RSG_5c_10d_0,0.37,0.37,0.37,0.37,0.37,0.34,0.37,0.0,0.0,0.0,0.37,0.61,0.37,0.37,0.37,0.37
RSG_5c_10d_1,0.37,0.21,0.49,0.37,0.37,0.61,0.37,0.0,0.03,0.0,0.37,0.37,0.37,0.37,0.37,0.37
RSG_5c_10d_2,0.37,0.61,0.4,0.61,0.61,0.61,0.61,0.0,0.0,0.0,0.37,0.6,0.37,0.37,0.61,0.61
RSG_5c_10d_3,0.61,0.61,0.61,0.61,0.61,0.61,0.61,0.21,0.16,0.0,0.61,0.29,0.61,0.61,0.61,0.61
RSG_5c_10d_4,0.21,0.37,0.61,0.21,0.37,0.61,0.37,0.0,0.0,0.0,0.37,0.58,0.37,0.37,0.61,0.37
RSG_5c_50d_0,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.37,0.37,0.37,0.37,0.37,0.0,0.37,0.37,0.37
RSG_5c_50d_1,0.0,0.21,0.0,0.0,0.37,0.21,0.0,0.61,0.61,0.36,0.37,0.37,0.37,0.0,0.0,0.37
RSG_5c_50d_2,0.0,0.37,0.0,0.37,0.0,0.0,0.0,0.61,0.61,0.37,0.37,0.0,0.0,0.21,0.0,0.21
RSG_5c_50d_3,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.0,0.37,0.21,0.21,0.37,0.37,0.37
RSG_5c_50d_4,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.61,0.37,0.21,0.21,0.0,0.0,0.37,0.37,0.37
