,No Reduction,PCA_k-1,PCA_25%,PCA_50%,Kernel PCA_k-1,Kernel PCA_25%,Kernel PCA_50%,VAE_k-1,VAE_25%,VAE_50%,Isomap_k-1,Isomap_25%,Isomap_50%,MDS_k-1,MDS_25%,MDS_50%
Repliclust_3c_10d_0,1.0,0.91,0.91,1.0,0.91,0.91,0.94,0.45,0.45,0.48,0.92,0.92,0.81,1.0,1.0,1.0
Repliclust_3c_10d_1,1.0,0.8,0.8,1.0,1.0,1.0,1.0,0.16,0.16,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Repliclust_3c_10d_2,1.0,1.0,1.0,1.0,0.9,0.9,1.0,0.35,0.35,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Repliclust_3c_10d_3,1.0,1.0,1.0,1.0,0.9,0.9,0.93,0.52,0.52,0.45,1.0,1.0,1.0,1.0,1.0,1.0
Repliclust_3c_10d_4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.57,0.57,0.95,0.9,0.9,0.9,0.93,0.93,1.0
Repliclust_3c_50d_0,1.0,1.0,1.0,1.0,0.66,1.0,1.0,1.0,0.93,1.0,0.92,0.91,1.0,1.0,1.0,1.0
Repliclust_3c_50d_1,1.0,0.92,1.0,1.0,0.91,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Repliclust_3c_50d_2,1.0,0.93,1.0,1.0,1.0,1.0,1.0,1.0,0.91,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Repliclust_3c_50d_3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.92,1.0,1.0,1.0,1.0,1.0
Repliclust_3c_50d_4,1.0,0.9,1.0,1.0,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Repliclust_5c_10d_0,0.37,0.37,0.37,0.37,0.37,0.61,0.37,0.0,0.19,0.0,0.37,0.32,0.21,0.37,0.37,0.37
Repliclust_5c_10d_1,0.37,0.37,0.37,0.37,0.37,0.61,0.37,0.0,0.0,0.0,0.37,0.61,0.37,0.37,0.37,0.37
Repliclust_5c_10d_2,0.61,0.61,0.37,0.61,0.61,0.61,0.61,0.0,0.0,0.0,0.37,0.37,0.37,0.61,0.37,0.61
Repliclust_5c_10d_3,0.37,0.37,0.61,0.37,0.37,0.61,0.37,0.34,0.0,0.0,0.37,0.61,0.37,0.37,0.37,0.0
Repliclust_5c_10d_4,0.61,0.61,0.46,0.61,0.61,0.61,0.61,0.33,0.2,0.28,0.37,0.53,0.37,0.61,0.61,0.61
Repliclust_5c_50d_0,0.21,0.37,0.37,0.21,0.0,0.0,0.0,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.37,0.21
Repliclust_5c_50d_1,0.37,0.37,0.37,0.37,0.0,0.37,0.0,0.61,0.61,0.36,0.37,0.0,0.0,0.61,0.37,0.37
Repliclust_5c_50d_2,0.37,0.37,0.37,0.37,0.37,0.37,0.0,0.37,0.37,0.36,0.37,0.37,0.37,0.37,0.37,0.37
Repliclust_5c_50d_3,0.37,0.37,0.37,0.37,0.0,0.37,0.37,0.37,0.37,0.37,0.21,0.0,0.37,0.37,0.37,0.37
Repliclust_5c_50d_4,0.37,0.37,0.37,0.37,0.0,0.0,0.0,0.61,0.37,0.37,0.37,0.0,0.0,0.37,0.37,0.37
