Method,Reduction,Win% Synthetic,Win% Real,Avg Win/Loss Synthetic,Avg Win/Loss Real
PCA,k-1,46.7,50.0,-2.3,6.8
PCA,25%,42.9,35.3,-2.7,4.1
PCA,50%,29.4,46.2,-3.4,8.8
Kernel PCA,k-1,66.7,46.7,0.0,-2.3
Kernel PCA,25%,52.4,38.9,-1.4,-4.0
Kernel PCA,50%,68.4,50.0,0.7,7.3
VAE,k-1,8.9,17.6,-68.2,-39.9
VAE,25%,11.4,20.0,-45.5,-49.2
VAE,50%,6.7,25.0,-39.1,-45.4
Isomap,k-1,75.0,40.0,11.1,33.6
Isomap,25%,50.0,44.4,3.2,24.0
Isomap,50%,56.5,47.4,4.1,23.2
MDS,k-1,11.8,26.7,-5.7,-4.9
MDS,25%,15.8,25.0,-4.0,-9.3
MDS,50%,33.3,25.0,-5.7,-1.3
