Method,Reduction,Win% Synthetic,Win% Real,Avg Win/Loss Synthetic,Avg Win/Loss Real
PCA,k-1,63.3,66.7,0.7,107.5
PCA,25%,50.0,41.7,0.9,91.4
PCA,50%,33.3,50.0,-0.4,85.8
Kernel PCA,k-1,57.1,84.6,-0.6,197.8
Kernel PCA,25%,69.0,76.5,8.6,81.7
Kernel PCA,50%,73.9,57.1,42.7,45.0
VAE,k-1,10.7,41.7,-50.5,2.0
VAE,25%,27.3,33.3,-30.3,-34.3
VAE,50%,29.2,35.7,-26.2,1.2
Isomap,k-1,48.8,78.6,24.8,48.1
Isomap,25%,60.0,72.2,38.7,66.1
Isomap,50%,51.7,33.3,10.5,34.1
MDS,k-1,63.2,54.5,7.0,-1.0
MDS,25%,61.5,46.2,4.4,4.6
MDS,50%,40.0,38.5,-2.3,3.4
