Method,Reduction,Synth Win%,Real Win%,Synth Avg W/L%,Real Avg W/L%
PCA,k-1,26.39,20.0,1.62,-2.65
PCA,25%,20.83,30.0,-1.54,-2.85
PCA,50%,20.83,35.0,-0.03,-2.15
Kernel PCA,k-1,18.06,25.0,-0.24,-1.4
Kernel PCA,25%,18.06,35.0,-1.76,-3.95
Kernel PCA,50%,22.22,50.0,0.39,-1.4
VAE,k-1,20.83,20.0,-4.68,-11.9
VAE,25%,15.28,15.0,-8.38,-16.25
VAE,50%,15.28,20.0,-7.21,-18.6
Isomap,k-1,31.94,25.0,8.6,-2.15
Isomap,25%,27.78,40.0,2.49,-4.15
Isomap,50%,27.78,30.0,0.6,-3.0
MDS,k-1,25.0,20.0,0.04,-3.4
MDS,25%,19.44,25.0,-0.53,-7.05
MDS,50%,13.89,40.0,-0.12,-5.75
