Method,Reduction,Synth Win%,Real Win%,Synth Avg W/L%,Real Avg W/L%
PCA,k-1,40.28,40.0,-19.32,1.2
PCA,25%,18.06,25.0,-10.14,-0.25
PCA,50%,2.78,25.0,-1.92,2.2
Kernel PCA,k-1,41.67,55.0,-20.14,6.0
Kernel PCA,25%,43.06,65.0,-2.92,5.8
Kernel PCA,50%,37.5,40.0,0.5,-1.05
VAE,k-1,34.72,25.0,-24.32,-7.5
VAE,25%,31.94,25.0,-11.53,-8.9
VAE,50%,27.78,25.0,-6.89,-7.05
Isomap,k-1,43.06,55.0,-20.57,0.55
Isomap,25%,43.06,65.0,-8.9,0.05
Isomap,50%,33.33,25.0,-11.79,-1.8
MDS,k-1,25.0,30.0,-10.61,-1.65
MDS,25%,15.28,30.0,-6.76,-1.85
MDS,50%,2.78,25.0,-1.58,-2.45
