Method,Reduction,Synth Win %,Real Win %,Synth Avg Win/Loss %,Real Avg Win/Loss %
PCA,k-1,11.67,35.0,0.37,-2.35
PCA,25%,6.67,30.0,-1.88,-3.25
PCA,50%,11.67,30.0,0.22,0.0
Kernel PCA,k-1,16.67,35.0,1.83,-0.15
Kernel PCA,25%,10.0,30.0,-0.0,-3.05
Kernel PCA,50%,5.0,45.0,-0.48,0.25
VAE,k-1,11.67,10.0,-20.28,-17.05
VAE,25%,10.0,15.0,-24.47,-17.9
VAE,50%,3.33,10.0,-18.48,-19.25
Isomap,k-1,6.67,30.0,-0.02,-3.15
Isomap,25%,6.67,40.0,-2.52,-4.65
Isomap,50%,6.67,45.0,-0.35,-4.35
MDS,k-1,3.33,20.0,-1.63,-2.25
MDS,25%,5.0,25.0,-1.68,-5.1
MDS,50%,5.0,20.0,-0.33,-1.85
