Method,Reduction,Synth Win %,Real Win %,Synth Avg Win/Loss %,Real Avg Win/Loss %
PCA,k-1,13.33,20.0,2.7,-2.65
PCA,25%,8.33,30.0,-0.38,-2.2
PCA,50%,13.33,35.0,0.82,-2.15
Kernel PCA,k-1,13.33,25.0,3.3,-1.4
Kernel PCA,25%,11.67,30.0,2.9,-4.4
Kernel PCA,50%,11.67,50.0,1.88,-1.4
VAE,k-1,13.33,20.0,-18.98,-13.35
VAE,25%,13.33,20.0,-23.57,-14.9
VAE,50%,13.33,20.0,-13.1,-15.45
Isomap,k-1,11.67,25.0,-0.27,-2.15
Isomap,25%,10.0,45.0,-2.15,-2.55
Isomap,50%,11.67,30.0,-0.63,-3.0
MDS,k-1,8.33,20.0,0.8,-3.65
MDS,25%,6.67,40.0,0.47,-4.5
MDS,50%,11.67,35.0,1.28,-3.25
