Method,Reduction,Synth Win %,Real Win %,Synth Avg Win/Loss %,Real Avg Win/Loss %
PCA,k-1,20.0,40.0,1.62,1.2
PCA,25%,18.33,25.0,1.8,-0.35
PCA,50%,3.33,25.0,0.3,2.2
Kernel PCA,k-1,10.0,55.0,-2.78,6.0
Kernel PCA,25%,15.0,55.0,0.95,3.95
Kernel PCA,50%,3.33,40.0,-2.82,-1.05
VAE,k-1,11.67,35.0,-15.57,-6.15
VAE,25%,8.33,30.0,-16.85,-5.1
VAE,50%,5.0,40.0,-17.75,-7.0
Isomap,k-1,10.0,55.0,-0.88,0.55
Isomap,25%,15.0,65.0,-1.33,0.5
Isomap,50%,5.0,25.0,-3.28,-1.8
MDS,k-1,8.33,20.0,1.07,-1.95
MDS,25%,6.67,30.0,0.72,-3.4
MDS,50%,6.67,15.0,1.02,-1.8
