Method,Reduction,Synth Win %,Real Win %,Synth Avg Win/Loss %,Real Avg Win/Loss %
PCA,k-1,3.33,20.0,-1.32,0.3
PCA,25%,5.0,20.0,-1.9,0.7
PCA,50%,5.0,20.0,-0.12,0.4
Kernel PCA,k-1,1.67,50.0,-0.72,2.6
Kernel PCA,25%,1.67,40.0,-0.78,0.45
Kernel PCA,50%,6.67,50.0,-0.07,1.35
VAE,k-1,8.33,25.0,-24.33,-10.95
VAE,25%,10.0,20.0,-28.27,-10.9
VAE,50%,5.0,20.0,-21.97,-12.95
Isomap,k-1,5.0,55.0,-3.28,1.25
Isomap,25%,5.0,45.0,-5.57,0.65
Isomap,50%,5.0,60.0,-3.35,1.45
MDS,k-1,0.0,30.0,-3.32,-0.45
MDS,25%,0.0,40.0,-2.9,-0.4
MDS,50%,5.0,25.0,-1.28,0.1
