Method,Reduction,Synth Win%,Real Win%,Synth Avg W/L%,Real Avg W/L%
PCA,k-1,2.78,40.0,-0.04,-0.1
PCA,25%,2.78,40.0,-2.26,-0.5
PCA,50%,4.17,30.0,-0.06,-0.4
Kernel PCA,k-1,18.06,50.0,1.0,2.1
Kernel PCA,25%,19.44,45.0,-0.81,0.65
Kernel PCA,50%,19.44,45.0,1.11,1.0
VAE,k-1,19.44,15.0,-4.31,-10.1
VAE,25%,15.28,15.0,-7.08,-13.95
VAE,50%,8.33,15.0,-6.24,-15.15
Isomap,k-1,27.78,55.0,4.33,1.1
Isomap,25%,25.0,45.0,1.46,-0.2
Isomap,50%,29.17,40.0,1.36,0.9
MDS,k-1,6.94,45.0,-0.33,-0.65
MDS,25%,4.17,30.0,-1.78,-3.6
MDS,50%,1.39,25.0,-0.15,-2.6
