,No Reduction,PCA_k-1,PCA_25%,PCA_50%,Kernel PCA_k-1,Kernel PCA_25%,Kernel PCA_50%,VAE_k-1,VAE_25%,VAE_50%,Isomap_k-1,Isomap_25%,Isomap_50%,MDS_k-1,MDS_25%,MDS_50%
Moons_2c_10d_0,0.51,0.46,0.46,0.48,0.48,0.48,0.48,0.0,0.0,0.0,0.43,0.43,0.43,0.47,0.47,0.48
Moons_2c_10d_1,0.48,0.49,0.49,0.48,0.47,0.47,0.47,0.07,0.07,0.11,0.49,0.49,0.51,0.47,0.47,0.47
Moons_2c_10d_2,0.49,0.47,0.47,0.49,0.48,0.48,0.49,0.0,0.0,0.01,0.53,0.53,0.53,0.47,0.47,0.48
Moons_2c_10d_3,0.49,0.46,0.46,0.49,0.47,0.47,0.48,0.0,0.0,0.02,0.44,0.44,0.44,0.49,0.49,0.47
Moons_2c_10d_4,0.45,0.46,0.46,0.46,0.48,0.48,0.46,0.0,0.0,0.07,0.47,0.47,0.47,0.42,0.42,0.47
Moons_2c_50d_0,0.43,0.28,0.38,0.41,0.35,0.4,0.38,0.0,0.01,0.01,0.06,0.03,0.03,0.01,0.02,0.36
Moons_2c_50d_1,0.27,0.24,0.26,0.28,0.27,0.26,0.26,0.0,0.0,0.02,0.05,0.02,0.04,0.11,0.09,0.29
Moons_2c_50d_2,0.49,0.35,0.43,0.52,0.37,0.45,0.53,0.05,0.03,0.1,0.0,0.0,0.0,0.01,0.15,0.39
Moons_2c_50d_3,0.44,0.33,0.37,0.38,0.37,0.38,0.46,0.01,0.0,0.02,0.02,0.01,0.01,0.06,0.18,0.27
Moons_2c_50d_4,0.43,0.16,0.42,0.42,0.32,0.39,0.44,0.0,0.0,0.0,0.03,0.02,0.02,0.0,0.03,0.02
