,No Reduction,PCA_k-1,PCA_25%,PCA_50%,Kernel PCA_k-1,Kernel PCA_25%,Kernel PCA_50%,VAE_k-1,VAE_25%,VAE_50%,Isomap_k-1,Isomap_25%,Isomap_50%,MDS_k-1,MDS_25%,MDS_50%
RSG_3c_10d_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.18,0.18,0.71,1.0,1.0,1.0,1.0,1.0,1.0
RSG_3c_10d_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.62,0.62,0.86,1.0,1.0,1.0,1.0,1.0,1.0
RSG_3c_10d_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.06,0.06,0.41,1.0,1.0,1.0,1.0,1.0,1.0
RSG_3c_10d_3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.32,0.32,0.82,1.0,1.0,1.0,1.0,1.0,1.0
RSG_3c_10d_4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.23,0.23,0.83,1.0,1.0,1.0,1.0,1.0,1.0
RSG_3c_50d_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RSG_3c_50d_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.98,0.88,1.0,1.0,1.0,1.0,1.0,1.0
RSG_3c_50d_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RSG_3c_50d_3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RSG_3c_50d_4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
RSG_5c_10d_0,1.0,1.0,0.84,1.0,1.0,0.88,1.0,0.43,0.3,0.45,1.0,0.9,1.0,0.99,0.99,1.0
RSG_5c_10d_1,1.0,1.0,0.84,1.0,1.0,0.97,1.0,0.53,0.26,0.38,1.0,0.84,1.0,1.0,1.0,1.0
RSG_5c_10d_2,1.0,1.0,0.73,1.0,1.0,0.99,1.0,0.21,0.15,0.44,1.0,0.72,1.0,1.0,0.99,1.0
RSG_5c_10d_3,1.0,1.0,0.87,1.0,1.0,0.93,1.0,0.62,0.49,0.65,1.0,0.88,1.0,1.0,0.99,1.0
RSG_5c_10d_4,1.0,1.0,0.99,1.0,1.0,1.0,1.0,0.73,0.22,0.5,1.0,0.92,1.0,1.0,0.99,1.0
RSG_5c_50d_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,0.91,0.72,1.0,1.0,1.0,1.0,1.0,1.0
RSG_5c_50d_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,0.99,0.75,1.0,1.0,1.0,1.0,1.0,1.0
RSG_5c_50d_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,0.99,1.0,1.0,1.0,1.0,1.0,1.0
RSG_5c_50d_3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.94,0.77,0.66,1.0,1.0,1.0,1.0,1.0,1.0
RSG_5c_50d_4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,0.96,0.72,1.0,1.0,1.0,1.0,1.0,1.0
