,No Reduction,PCA_k-1,PCA_25%,PCA_50%,Kernel PCA_k-1,Kernel PCA_25%,Kernel PCA_50%,VAE_k-1,VAE_25%,VAE_50%,Isomap_k-1,Isomap_25%,Isomap_50%,MDS_k-1,MDS_25%,MDS_50%
Repliclust_3c_10d_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.67,0.67,0.74,1.0,1.0,1.0,1.0,1.0,1.0
Repliclust_3c_10d_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.45,0.45,0.28,1.0,1.0,1.0,1.0,1.0,1.0
Repliclust_3c_10d_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.63,0.63,0.63,1.0,1.0,1.0,1.0,1.0,1.0
Repliclust_3c_10d_3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.51,0.51,0.84,1.0,1.0,1.0,1.0,1.0,1.0
Repliclust_3c_10d_4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.76,0.76,0.94,1.0,1.0,1.0,1.0,1.0,1.0
Repliclust_3c_50d_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Repliclust_3c_50d_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Repliclust_3c_50d_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Repliclust_3c_50d_3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Repliclust_3c_50d_4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Repliclust_5c_10d_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.59,0.51,0.45,1.0,0.91,1.0,1.0,1.0,1.0
Repliclust_5c_10d_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.46,0.45,0.66,1.0,0.87,1.0,1.0,1.0,1.0
Repliclust_5c_10d_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.65,0.22,0.52,1.0,0.99,1.0,1.0,1.0,1.0
Repliclust_5c_10d_3,1.0,1.0,0.99,1.0,1.0,1.0,1.0,0.39,0.38,0.51,1.0,0.82,1.0,1.0,1.0,1.0
Repliclust_5c_10d_4,1.0,1.0,0.88,1.0,1.0,0.99,1.0,0.73,0.42,0.71,1.0,0.86,1.0,1.0,1.0,1.0
Repliclust_5c_50d_0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0
Repliclust_5c_50d_1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0
Repliclust_5c_50d_2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,1.0,1.0
Repliclust_5c_50d_3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.83,0.99,1.0,1.0,1.0,1.0,1.0,1.0
Repliclust_5c_50d_4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.97,0.99,0.89,1.0,1.0,1.0,1.0,1.0,1.0
