,No Reduction,PCA_k-1,PCA_25%,PCA_50%,Kernel PCA_k-1,Kernel PCA_25%,Kernel PCA_50%,VAE_k-1,VAE_25%,VAE_50%,Isomap_k-1,Isomap_25%,Isomap_50%,MDS_k-1,MDS_25%,MDS_50%
Breast Wisconsin,0.65,0.66,0.67,0.66,0.65,0.64,0.65,0.51,0.54,0.15,0.75,0.75,0.75,0.69,0.68,0.67
Breast tissue,0.26,0.26,0.28,0.26,0.29,0.32,0.29,0.19,0.0,0.19,0.3,0.24,0.3,0.27,0.29,0.26
Ecoli,0.51,0.51,0.46,0.5,0.51,0.44,0.41,0.51,0.1,0.06,0.51,0.43,0.51,0.51,0.39,0.52
Glass,0.18,0.2,0.24,0.19,0.17,0.16,0.16,0.11,0.1,0.08,0.14,0.12,0.15,0.2,0.19,0.18
Haberman,-0.0,0.01,0.01,0.01,-0.01,-0.01,-0.01,-0.02,-0.02,-0.02,0.02,0.02,0.02,-0.0,-0.0,-0.0
Ionosphere,0.17,0.16,0.17,0.17,0.21,0.21,0.21,0.11,0.19,0.17,0.14,0.14,0.14,0.11,0.15,0.17
Iris,0.62,0.62,0.62,0.62,0.64,0.64,0.64,0.24,0.24,0.24,0.63,0.63,0.63,0.61,0.61,0.61
Movement libras,0.3,0.31,0.31,0.3,0.33,0.33,0.27,0.13,0.13,0.18,0.33,0.31,0.3,0.31,0.32,0.29
Musk,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0
Parkinsons,-0.1,-0.09,-0.1,-0.1,0.16,0.16,0.16,0.02,0.0,-0.03,0.09,0.09,0.09,-0.07,-0.1,-0.1
Segmentation,0.56,0.45,0.45,0.46,0.51,0.46,0.53,0.31,0.4,0.3,0.4,0.4,0.39,0.49,0.46,0.46
Sonar all,-0.0,-0.0,-0.0,-0.0,0.02,0.02,0.02,0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.03,-0.0,-0.0
Spectf,-0.1,-0.1,-0.1,-0.1,-0.05,-0.06,-0.08,-0.01,-0.07,-0.07,-0.09,-0.1,-0.1,-0.1,-0.1,-0.1
Transfusion,0.05,0.06,0.06,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.07,0.07,0.03,0.03,0.03
Vehicle,0.07,0.08,0.08,0.07,0.08,0.07,0.07,0.09,0.07,0.11,0.1,0.12,0.12,0.08,0.06,0.07
Vertebral column,0.21,0.24,0.24,0.25,0.25,0.25,0.24,0.02,0.02,0.04,0.25,0.25,0.26,0.21,0.21,0.25
Vowel context,0.17,0.17,0.16,0.18,0.17,0.12,0.19,0.17,0.08,0.07,0.17,0.13,0.17,0.17,0.13,0.18
Wine,0.9,0.9,0.88,0.9,0.95,0.93,0.95,0.09,0.03,0.08,0.85,0.86,0.86,0.82,0.86,0.85
Wine quality red,0.06,0.05,0.06,0.06,0.05,0.06,0.06,0.02,0.03,0.01,0.07,0.08,0.06,0.08,0.06,0.07
Yeast,0.17,0.17,0.09,0.11,0.17,0.07,0.12,0.17,0.05,0.09,0.17,0.1,0.14,0.17,0.11,0.18
