Dataset,No Reduction,PCA_k-1,PCA_25%,PCA_50%,Kernel PCA_k-1,Kernel PCA_25%,Kernel PCA_50%,VAE_k-1,VAE_25%,VAE_50%,Isomap_k-1,Isomap_25%,Isomap_50%,MDS_k-1,MDS_25%,MDS_50%
Moons_2c_10d_0,0.4600,0.4600,0.4600,0.4900,0.4800,0.4800,0.4600,-0.0000,-0.0000,0.0000,0.4300,0.4300,0.4300,0.5000,0.5000,0.4800
Moons_2c_10d_1,0.5000,0.4700,0.4700,0.5000,0.4700,0.4700,0.4900,0.0600,0.0600,0.0800,0.4800,0.4800,0.5200,0.4600,0.4600,0.4900
Moons_2c_10d_2,0.4900,0.4700,0.4700,0.4700,0.4900,0.4900,0.4800,-0.0000,-0.0000,0.0100,0.5300,0.5300,0.5400,0.4700,0.4700,0.4700
Moons_2c_10d_3,0.4800,0.4600,0.4600,0.4900,0.4500,0.4500,0.4600,-0.0000,-0.0000,0.0200,0.4600,0.4600,0.4600,0.4800,0.4800,0.4800
Moons_2c_10d_4,0.5100,0.4600,0.4600,0.4700,0.4800,0.4800,0.4700,0.0100,0.0100,0.0700,0.4500,0.4500,0.4600,0.4500,0.4500,0.4500
Moons_2c_50d_0,0.4900,0.2800,0.3900,0.4100,0.3900,0.4000,0.4000,0.0100,0.0100,0.0100,-0.0000,0.0200,0.0300,0.0200,0.0200,0.2300
Moons_2c_50d_1,0.1700,0.2400,0.0300,0.4200,0.2700,0.3600,-0.0000,-0.0000,0.0100,0.0300,-0.0000,-0.0000,0.0000,0.1100,0.2400,0.2300
Moons_2c_50d_2,-0.0000,0.3300,0.0500,0.0100,0.2800,0.4700,0.5100,0.0400,0.0100,0.1200,0.0100,0.0200,0.0200,0.0100,0.0000,0.0500
Moons_2c_50d_3,0.0200,0.3300,-0.0000,0.1200,0.3900,0.4000,0.1500,0.0100,0.0000,0.0100,0.0100,0.0100,0.0200,0.0100,0.0200,0.1900
Moons_2c_50d_4,0.0000,0.1300,0.0500,0.5100,0.3100,-0.0000,-0.0000,-0.0000,-0.0000,0.0100,0.0300,0.0100,0.0100,-0.0000,-0.0000,-0.0000
