Dataset,No Reduction,PCA_k-1,PCA_25%,PCA_50%,Kernel PCA_k-1,Kernel PCA_25%,Kernel PCA_50%,VAE_k-1,VAE_25%,VAE_50%,Isomap_k-1,Isomap_25%,Isomap_50%,MDS_k-1,MDS_25%,MDS_50%
RSG_3c_10d_0,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.2000,0.2000,0.6500,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
RSG_3c_10d_1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6600,0.6600,0.9000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
RSG_3c_10d_2,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0500,0.0500,0.4100,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
RSG_3c_10d_3,1.0000,0.9900,0.9900,1.0000,1.0000,1.0000,1.0000,0.3100,0.3100,0.6500,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
RSG_3c_10d_4,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.2800,0.2800,0.8600,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
RSG_3c_50d_0,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
RSG_3c_50d_1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
RSG_3c_50d_2,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
RSG_3c_50d_3,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
RSG_3c_50d_4,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
RSG_5c_10d_0,1.0000,1.0000,0.8400,1.0000,1.0000,0.9000,1.0000,0.4600,0.2800,0.4400,1.0000,0.9900,1.0000,1.0000,0.9900,1.0000
RSG_5c_10d_1,1.0000,1.0000,0.8400,1.0000,1.0000,0.9400,1.0000,0.6100,0.2700,0.3800,1.0000,0.8500,1.0000,1.0000,0.9900,1.0000
RSG_5c_10d_2,1.0000,1.0000,0.6900,1.0000,1.0000,0.9800,1.0000,0.2100,0.1400,0.4400,1.0000,0.6600,1.0000,1.0000,0.9900,1.0000
RSG_5c_10d_3,1.0000,1.0000,0.8500,1.0000,1.0000,0.9200,1.0000,0.7200,0.5100,0.6800,1.0000,0.8400,1.0000,1.0000,0.9900,1.0000
RSG_5c_10d_4,1.0000,1.0000,0.9900,1.0000,1.0000,1.0000,1.0000,0.8800,0.1800,0.5300,1.0000,0.8600,1.0000,1.0000,0.9900,1.0000
RSG_5c_50d_0,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9900,1.0000,0.7700,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
RSG_5c_50d_1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9900,0.7700,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
RSG_5c_50d_2,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9900,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
RSG_5c_50d_3,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9400,0.7600,0.7500,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
RSG_5c_50d_4,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9800,0.9700,0.8200,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
