Dataset,No Reduction,PCA_k-1,PCA_25%,PCA_50%,Kernel PCA_k-1,Kernel PCA_25%,Kernel PCA_50%,VAE_k-1,VAE_25%,VAE_50%,Isomap_k-1,Isomap_25%,Isomap_50%,MDS_k-1,MDS_25%,MDS_50%
Repliclust_3c_10d_0,0.4600,1.0000,1.0000,0.4500,1.0000,1.0000,1.0000,0.6800,0.6800,0.8200,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Repliclust_3c_10d_1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.5000,0.5000,0.8200,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Repliclust_3c_10d_2,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6200,0.6200,0.7000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Repliclust_3c_10d_3,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.5200,0.5200,0.8200,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Repliclust_3c_10d_4,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.7300,0.7300,0.9500,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Repliclust_3c_50d_0,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Repliclust_3c_50d_1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Repliclust_3c_50d_2,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Repliclust_3c_50d_3,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Repliclust_3c_50d_4,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Repliclust_5c_10d_0,1.0000,1.0000,0.9900,1.0000,1.0000,1.0000,1.0000,0.5900,0.5300,0.5900,1.0000,0.9200,1.0000,1.0000,1.0000,1.0000
Repliclust_5c_10d_1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.4900,0.4700,0.8500,1.0000,0.9100,1.0000,1.0000,1.0000,1.0000
Repliclust_5c_10d_2,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.6300,0.2200,0.6200,1.0000,0.9900,1.0000,1.0000,1.0000,1.0000
Repliclust_5c_10d_3,1.0000,1.0000,0.9900,1.0000,1.0000,1.0000,1.0000,0.5100,0.3900,0.7700,1.0000,0.8200,1.0000,1.0000,1.0000,1.0000
Repliclust_5c_10d_4,1.0000,1.0000,0.8700,1.0000,1.0000,0.9900,1.0000,0.9500,0.4700,0.6700,1.0000,0.7200,1.0000,1.0000,1.0000,1.0000
Repliclust_5c_50d_0,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9900,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Repliclust_5c_50d_1,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Repliclust_5c_50d_2,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Repliclust_5c_50d_3,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Repliclust_5c_50d_4,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.7200,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
