Dataset,No Reduction,PCA_k-1,PCA_25%,PCA_50%,Kernel PCA_k-1,Kernel PCA_25%,Kernel PCA_50%,VAE_k-1,VAE_25%,VAE_50%,Isomap_k-1,Isomap_25%,Isomap_50%,MDS_k-1,MDS_25%,MDS_50%
Repliclust_3c_10d_0,1.0000,0.9100,0.9100,1.0000,0.9100,0.9100,0.9400,0.4500,0.4500,0.4800,0.9200,0.9200,0.8100,1.0000,1.0000,1.0000
Repliclust_3c_10d_1,1.0000,0.8000,0.8000,1.0000,1.0000,1.0000,1.0000,0.1600,0.1600,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Repliclust_3c_10d_2,1.0000,1.0000,1.0000,1.0000,0.9000,0.9000,1.0000,0.3500,0.3500,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Repliclust_3c_10d_3,1.0000,1.0000,1.0000,1.0000,0.9000,0.9000,0.9300,0.5200,0.5200,0.4500,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Repliclust_3c_10d_4,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.5700,0.5700,0.9500,0.9000,0.9000,0.9000,0.9300,0.9300,1.0000
Repliclust_3c_50d_0,1.0000,1.0000,1.0000,1.0000,0.6600,1.0000,1.0000,1.0000,0.9300,1.0000,0.9200,0.9100,1.0000,1.0000,1.0000,1.0000
Repliclust_3c_50d_1,1.0000,0.9200,1.0000,1.0000,0.9100,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Repliclust_3c_50d_2,1.0000,0.9300,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9100,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Repliclust_3c_50d_3,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.9200,1.0000,1.0000,1.0000,1.0000,1.0000
Repliclust_3c_50d_4,1.0000,0.9000,1.0000,1.0000,0.9500,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000
Repliclust_5c_10d_0,0.3700,0.3700,0.3700,0.3700,0.3700,0.6100,0.3700,0.0000,0.1900,0.0000,0.3700,0.3200,0.2100,0.3700,0.3700,0.3700
Repliclust_5c_10d_1,0.3700,0.3700,0.3700,0.3700,0.3700,0.6100,0.3700,0.0000,0.0000,0.0000,0.3700,0.6100,0.3700,0.3700,0.3700,0.3700
Repliclust_5c_10d_2,0.6100,0.6100,0.3700,0.6100,0.6100,0.6100,0.6100,0.0000,0.0000,0.0000,0.3700,0.3700,0.3700,0.6100,0.3700,0.6100
Repliclust_5c_10d_3,0.3700,0.3700,0.6100,0.3700,0.3700,0.6100,0.3700,0.3400,0.0000,0.0000,0.3700,0.6100,0.3700,0.3700,0.3700,0.0000
Repliclust_5c_10d_4,0.6100,0.6100,0.4600,0.6100,0.6100,0.6100,0.6100,0.3300,0.2000,0.2800,0.3700,0.5300,0.3700,0.6100,0.6100,0.6100
Repliclust_5c_50d_0,0.2100,0.3700,0.3700,0.2100,0.0000,0.0000,0.0000,0.3700,0.3700,0.3700,0.3700,0.3700,0.3700,0.3700,0.3700,0.2100
Repliclust_5c_50d_1,0.3700,0.3700,0.3700,0.3700,0.0000,0.3700,0.0000,0.6100,0.6100,0.3600,0.3700,0.0000,0.0000,0.6100,0.3700,0.3700
Repliclust_5c_50d_2,0.3700,0.3700,0.3700,0.3700,0.3700,0.3700,0.0000,0.3700,0.3700,0.3600,0.3700,0.3700,0.3700,0.3700,0.3700,0.3700
Repliclust_5c_50d_3,0.3700,0.3700,0.3700,0.3700,0.0000,0.3700,0.3700,0.3700,0.3700,0.3700,0.2100,0.0000,0.3700,0.3700,0.3700,0.3700
Repliclust_5c_50d_4,0.3700,0.3700,0.3700,0.3700,0.0000,0.0000,0.0000,0.6100,0.3700,0.3700,0.3700,0.0000,0.0000,0.3700,0.3700,0.3700
