Algorithm,DR Method,Reduction,p-value,Significant
k-means,PCA,k-1,1.0,
k-means,PCA,25%,0.75,
k-means,PCA,50%,1.0,
k-means,Kernel PCA,k-1,1.0,
k-means,Kernel PCA,25%,1.0,
k-means,Kernel PCA,50%,1.0,
k-means,VAE,k-1,0.0469,✓
k-means,VAE,25%,0.0312,✓
k-means,VAE,50%,0.125,
k-means,Isomap,k-1,1.0,
k-means,Isomap,25%,1.0,
k-means,Isomap,50%,1.0,
k-means,MDS,k-1,1.0,
k-means,MDS,25%,1.0,
k-means,MDS,50%,1.0,
AHC,PCA,k-1,1.0,
AHC,PCA,25%,1.0,
AHC,PCA,50%,0.9688,
AHC,Kernel PCA,k-1,1.0,
AHC,Kernel PCA,25%,1.0,
AHC,Kernel PCA,50%,1.0,
AHC,VAE,k-1,0.0195,✓
AHC,VAE,25%,0.0312,✓
AHC,VAE,50%,0.8125,
AHC,Isomap,k-1,1.0,
AHC,Isomap,25%,1.0,
AHC,Isomap,50%,1.0,
AHC,MDS,k-1,1.0,
AHC,MDS,25%,1.0,
AHC,MDS,50%,1.0,
GMM,PCA,k-1,0.5,
GMM,PCA,25%,0.5,
GMM,PCA,50%,0.75,
GMM,Kernel PCA,k-1,1.0,
GMM,Kernel PCA,25%,1.0,
GMM,Kernel PCA,50%,0.5,
GMM,VAE,k-1,0.0312,✓
GMM,VAE,25%,0.0312,✓
GMM,VAE,50%,0.0625,
GMM,Isomap,k-1,0.75,
GMM,Isomap,25%,0.75,
GMM,Isomap,50%,1.0,
GMM,MDS,k-1,1.0,
GMM,MDS,25%,1.0,
GMM,MDS,50%,0.75,
OPTICS,PCA,k-1,0.25,
OPTICS,PCA,25%,0.25,
OPTICS,PCA,50%,1.0,
OPTICS,Kernel PCA,k-1,1.0,
OPTICS,Kernel PCA,25%,1.0,
OPTICS,Kernel PCA,50%,1.0,
OPTICS,VAE,k-1,1.0,
OPTICS,VAE,25%,1.0,
OPTICS,VAE,50%,1.0,
OPTICS,Isomap,k-1,1.0,
OPTICS,Isomap,25%,1.0,
OPTICS,Isomap,50%,1.0,
OPTICS,MDS,k-1,1.0,
OPTICS,MDS,25%,1.0,
OPTICS,MDS,50%,1.0,
