Algorithm,DR Method,Reduction,p-value,Significant
k-means,PCA,k-1,0.9971,
k-means,PCA,25%,0.9951,
k-means,PCA,50%,0.7891,
k-means,Kernel PCA,k-1,0.9902,
k-means,Kernel PCA,25%,0.9922,
k-means,Kernel PCA,50%,0.6348,
k-means,VAE,k-1,1.0,
k-means,VAE,25%,1.0,
k-means,VAE,50%,1.0,
k-means,Isomap,k-1,0.9902,
k-means,Isomap,25%,0.9902,
k-means,Isomap,50%,0.9902,
k-means,MDS,k-1,1.0,
k-means,MDS,25%,1.0,
k-means,MDS,50%,0.9844,
AHC,PCA,k-1,0.1807,
AHC,PCA,25%,0.6953,
AHC,PCA,50%,0.3223,
AHC,Kernel PCA,k-1,0.001,✓
AHC,Kernel PCA,25%,0.1016,
AHC,Kernel PCA,50%,0.957,
AHC,VAE,k-1,1.0,
AHC,VAE,25%,1.0,
AHC,VAE,50%,1.0,
AHC,Isomap,k-1,0.5771,
AHC,Isomap,25%,0.6162,
AHC,Isomap,50%,0.8125,
AHC,MDS,k-1,0.9863,
AHC,MDS,25%,0.9512,
AHC,MDS,50%,0.917,
GMM,PCA,k-1,0.2852,
GMM,PCA,25%,0.8691,
GMM,PCA,50%,0.1797,
GMM,Kernel PCA,k-1,0.1738,
GMM,Kernel PCA,25%,0.3125,
GMM,Kernel PCA,50%,0.7148,
GMM,VAE,k-1,0.9961,
GMM,VAE,25%,0.998,
GMM,VAE,50%,0.9941,
GMM,Isomap,k-1,0.9238,
GMM,Isomap,25%,0.9375,
GMM,Isomap,50%,0.8203,
GMM,MDS,k-1,0.9648,
GMM,MDS,25%,0.75,
GMM,MDS,50%,0.4883,
OPTICS,PCA,k-1,0.0312,✓
OPTICS,PCA,25%,0.0625,
OPTICS,PCA,50%,1.0,
OPTICS,Kernel PCA,k-1,0.25,
OPTICS,Kernel PCA,25%,1.0,
OPTICS,Kernel PCA,50%,1.0,
OPTICS,VAE,k-1,1.0,
OPTICS,VAE,25%,1.0,
OPTICS,VAE,50%,1.0,
OPTICS,Isomap,k-1,1.0,
OPTICS,Isomap,25%,1.0,
OPTICS,Isomap,50%,1.0,
OPTICS,MDS,k-1,1.0,
OPTICS,MDS,25%,1.0,
OPTICS,MDS,50%,1.0,
