Algorithm,DR Method,Reduction,p-value,Significant
k-means,PCA,k-1,1.0,
k-means,PCA,25%,1.0,
k-means,PCA,50%,1.0,
k-means,Kernel PCA,k-1,1.0,
k-means,Kernel PCA,25%,1.0,
k-means,Kernel PCA,50%,1.0,
k-means,VAE,k-1,0.9997,
k-means,VAE,25%,0.9998,
k-means,VAE,50%,0.9998,
k-means,Isomap,k-1,1.0,
k-means,Isomap,25%,1.0,
k-means,Isomap,50%,1.0,
k-means,MDS,k-1,1.0,
k-means,MDS,25%,1.0,
k-means,MDS,50%,1.0,
AHC,PCA,k-1,1.0,
AHC,PCA,25%,1.0,
AHC,PCA,50%,1.0,
AHC,Kernel PCA,k-1,1.0,
AHC,Kernel PCA,25%,1.0,
AHC,Kernel PCA,50%,1.0,
AHC,VAE,k-1,1.0,
AHC,VAE,25%,1.0,
AHC,VAE,50%,0.9997,
AHC,Isomap,k-1,1.0,
AHC,Isomap,25%,1.0,
AHC,Isomap,50%,1.0,
AHC,MDS,k-1,1.0,
AHC,MDS,25%,1.0,
AHC,MDS,50%,1.0,
GMM,PCA,k-1,0.25,
GMM,PCA,25%,0.8906,
GMM,PCA,50%,0.75,
GMM,Kernel PCA,k-1,0.25,
GMM,Kernel PCA,25%,0.4062,
GMM,Kernel PCA,50%,0.5,
GMM,VAE,k-1,0.9996,
GMM,VAE,25%,0.9998,
GMM,VAE,50%,0.9995,
GMM,Isomap,k-1,0.5,
GMM,Isomap,25%,0.9297,
GMM,Isomap,50%,0.7812,
GMM,MDS,k-1,0.25,
GMM,MDS,25%,0.8438,
GMM,MDS,50%,1.0,
OPTICS,PCA,k-1,0.1641,
OPTICS,PCA,25%,0.125,
OPTICS,PCA,50%,0.625,
OPTICS,Kernel PCA,k-1,0.4219,
OPTICS,Kernel PCA,25%,0.2617,
OPTICS,Kernel PCA,50%,0.6562,
OPTICS,VAE,k-1,0.9824,
OPTICS,VAE,25%,0.9872,
OPTICS,VAE,50%,0.997,
OPTICS,Isomap,k-1,0.6602,
OPTICS,Isomap,25%,0.46,
OPTICS,Isomap,50%,0.7812,
OPTICS,MDS,k-1,0.25,
OPTICS,MDS,25%,0.25,
OPTICS,MDS,50%,0.0625,
