Algorithm,DR Method,Reduction,p-value,Significant
k-means,PCA,k-1,0.2344,
k-means,PCA,25%,0.3867,
k-means,PCA,50%,0.4062,
k-means,Kernel PCA,k-1,0.0119,✓
k-means,Kernel PCA,25%,0.5309,
k-means,Kernel PCA,50%,0.1718,
k-means,VAE,k-1,0.9823,
k-means,VAE,25%,0.994,
k-means,VAE,50%,0.9957,
k-means,Isomap,k-1,0.1528,
k-means,Isomap,25%,0.3791,
k-means,Isomap,50%,0.1541,
k-means,MDS,k-1,0.5,
k-means,MDS,25%,0.4114,
k-means,MDS,50%,0.5859,
AHC,PCA,k-1,0.7651,
AHC,PCA,25%,0.9725,
AHC,PCA,50%,0.5356,
AHC,Kernel PCA,k-1,0.511,
AHC,Kernel PCA,25%,0.965,
AHC,Kernel PCA,50%,0.3718,
AHC,VAE,k-1,0.9976,
AHC,VAE,25%,0.9986,
AHC,VAE,50%,0.9994,
AHC,Isomap,k-1,0.84,
AHC,Isomap,25%,0.9612,
AHC,Isomap,50%,0.8864,
AHC,MDS,k-1,0.981,
AHC,MDS,25%,0.9977,
AHC,MDS,50%,0.9632,
GMM,PCA,k-1,0.9365,
GMM,PCA,25%,0.8341,
GMM,PCA,50%,0.6754,
GMM,Kernel PCA,k-1,0.8467,
GMM,Kernel PCA,25%,0.9076,
GMM,Kernel PCA,50%,0.6028,
GMM,VAE,k-1,0.9955,
GMM,VAE,25%,0.9974,
GMM,VAE,50%,0.9985,
GMM,Isomap,k-1,0.8994,
GMM,Isomap,25%,0.7639,
GMM,Isomap,50%,0.8928,
GMM,MDS,k-1,0.9673,
GMM,MDS,25%,0.8082,
GMM,MDS,50%,0.715,
OPTICS,PCA,k-1,0.2349,
OPTICS,PCA,25%,0.6257,
OPTICS,PCA,50%,0.3213,
OPTICS,Kernel PCA,k-1,0.0385,✓
OPTICS,Kernel PCA,25%,0.0603,
OPTICS,Kernel PCA,50%,0.1982,
OPTICS,VAE,k-1,0.7123,
OPTICS,VAE,25%,0.8175,
OPTICS,VAE,50%,0.7343,
OPTICS,Isomap,k-1,0.1164,
OPTICS,Isomap,25%,0.0993,
OPTICS,Isomap,50%,0.6954,
OPTICS,MDS,k-1,0.5479,
OPTICS,MDS,25%,0.7087,
OPTICS,MDS,50%,0.937,
