Algorithm,DR Method,Reduction,p-value,Significant
k-means,PCA,k-1,1.0,
k-means,PCA,25%,1.0,
k-means,PCA,50%,1.0,
k-means,Kernel PCA,k-1,1.0,
k-means,Kernel PCA,25%,1.0,
k-means,Kernel PCA,50%,1.0,
k-means,VAE,k-1,1.0,
k-means,VAE,25%,1.0,
k-means,VAE,50%,0.9997,
k-means,Isomap,k-1,1.0,
k-means,Isomap,25%,1.0,
k-means,Isomap,50%,1.0,
k-means,MDS,k-1,1.0,
k-means,MDS,25%,1.0,
k-means,MDS,50%,1.0,
AHC,PCA,k-1,1.0,
AHC,PCA,25%,1.0,
AHC,PCA,50%,1.0,
AHC,Kernel PCA,k-1,1.0,
AHC,Kernel PCA,25%,1.0,
AHC,Kernel PCA,50%,1.0,
AHC,VAE,k-1,1.0,
AHC,VAE,25%,1.0,
AHC,VAE,50%,0.9995,
AHC,Isomap,k-1,1.0,
AHC,Isomap,25%,1.0,
AHC,Isomap,50%,1.0,
AHC,MDS,k-1,1.0,
AHC,MDS,25%,1.0,
AHC,MDS,50%,1.0,
GMM,PCA,k-1,1.0,
GMM,PCA,25%,0.6875,
GMM,PCA,50%,1.0,
GMM,Kernel PCA,k-1,1.0,
GMM,Kernel PCA,25%,0.5,
GMM,Kernel PCA,50%,1.0,
GMM,VAE,k-1,0.9985,
GMM,VAE,25%,0.999,
GMM,VAE,50%,0.9873,
GMM,Isomap,k-1,1.0,
GMM,Isomap,25%,0.8438,
GMM,Isomap,50%,1.0,
GMM,MDS,k-1,1.0,
GMM,MDS,25%,1.0,
GMM,MDS,50%,1.0,
OPTICS,PCA,k-1,0.8906,
OPTICS,PCA,25%,0.6875,
OPTICS,PCA,50%,1.0,
OPTICS,Kernel PCA,k-1,1.0,
OPTICS,Kernel PCA,25%,0.5156,
OPTICS,Kernel PCA,50%,1.0,
OPTICS,VAE,k-1,0.9967,
OPTICS,VAE,25%,0.9974,
OPTICS,VAE,50%,0.9994,
OPTICS,Isomap,k-1,0.9688,
OPTICS,Isomap,25%,0.9097,
OPTICS,Isomap,50%,0.9922,
OPTICS,MDS,k-1,0.25,
OPTICS,MDS,25%,0.75,
OPTICS,MDS,50%,1.0,
