Algorithm,DR Method,Level,p-value,Significant (α=0.05),Direction
k-means,PCA,k-1,0.0604,No,worse
k-means,PCA,25%,0.0107,Yes,worse
k-means,PCA,50%,0.8012,No,better
k-means,Kernel PCA,k-1,0.8751,No,better
k-means,Kernel PCA,25%,0.0575,No,worse
k-means,Kernel PCA,50%,0.4929,No,better
k-means,VAE,k-1,0.0000,Yes,worse
k-means,VAE,25%,0.0000,Yes,worse
k-means,VAE,50%,0.0000,Yes,worse
k-means,Isomap,k-1,0.2973,No,worse
k-means,Isomap,25%,0.0020,Yes,worse
k-means,Isomap,50%,0.3743,No,worse
k-means,MDS,k-1,0.0128,Yes,worse
k-means,MDS,25%,0.0217,Yes,worse
k-means,MDS,50%,0.0819,No,worse
AHC,PCA,k-1,0.9310,No,worse
AHC,PCA,25%,0.0029,Yes,worse
AHC,PCA,50%,0.7409,No,better
AHC,Kernel PCA,k-1,0.0289,Yes,better
AHC,Kernel PCA,25%,0.1360,No,worse
AHC,Kernel PCA,50%,0.5175,No,worse
AHC,VAE,k-1,0.0000,Yes,worse
AHC,VAE,25%,0.0000,Yes,worse
AHC,VAE,50%,0.0000,Yes,worse
AHC,Isomap,k-1,0.3672,No,worse
AHC,Isomap,25%,0.0014,Yes,worse
AHC,Isomap,50%,0.1079,No,worse
AHC,MDS,k-1,0.0033,Yes,worse
AHC,MDS,25%,0.0003,Yes,worse
AHC,MDS,50%,0.0147,Yes,worse
GMM,PCA,k-1,0.6741,No,better
GMM,PCA,25%,0.0744,No,worse
GMM,PCA,50%,0.9741,No,better
GMM,Kernel PCA,k-1,0.4253,No,better
GMM,Kernel PCA,25%,0.7208,No,better
GMM,Kernel PCA,50%,0.7434,No,better
GMM,VAE,k-1,0.0000,Yes,worse
GMM,VAE,25%,0.0000,Yes,worse
GMM,VAE,50%,0.0000,Yes,worse
GMM,Isomap,k-1,0.1780,No,worse
GMM,Isomap,25%,0.0320,Yes,worse
GMM,Isomap,50%,0.1713,No,worse
GMM,MDS,k-1,0.2526,No,worse
GMM,MDS,25%,0.5238,No,worse
GMM,MDS,50%,0.8008,No,better
OPTICS,PCA,k-1,0.1664,No,better
OPTICS,PCA,25%,0.2342,No,better
OPTICS,PCA,50%,0.5083,No,better
OPTICS,Kernel PCA,k-1,0.7475,No,worse
OPTICS,Kernel PCA,25%,0.2736,No,better
OPTICS,Kernel PCA,50%,0.1661,No,worse
OPTICS,VAE,k-1,0.0010,Yes,worse
OPTICS,VAE,25%,0.0003,Yes,worse
OPTICS,VAE,50%,0.0000,Yes,worse
OPTICS,Isomap,k-1,0.6199,No,worse
OPTICS,Isomap,25%,0.7167,No,worse
OPTICS,Isomap,50%,0.0430,Yes,worse
OPTICS,MDS,k-1,0.3682,No,better
OPTICS,MDS,25%,0.8562,No,worse
OPTICS,MDS,50%,0.9434,No,better
